,names,prices
0,HERO PLEASURE,14.541666666666666
1,Honda Dio,14.541666666666666
2,Honda Activa,16.625
3,TVS JUPITER,16.625
4,HERO DUET,16.625
5,HERO SPLENDOR,16.625
6,SUZUKI ACCESS 125,16.625
7,TVS VICTOR,16.625
8,HERO MAESTRO,16.625
9,Bajaj V15,16.625
10,YAMAHA FASCINO,16.625
11,Piaggio Vespa,16.625
12,YAMAHA FZ S,18.708333333333332
13,Bajaj Avenger Street 150,20.791666666666668
14,Honda CB HORNET,20.791666666666668
15,Bajaj Pulsar 150,20.791666666666668
16,Bajaj Pulsar 180,22.875
17,Bajaj Pulsar 220,24.958333333333332
18,Bajaj Avenger 220,29.125
19,Honda CBR 250,37.458333333333336
