,names,WeekDay Prices,Weekend Prices
0,Royal Enfield Thunderbird 500,33.291666666666664,33.291666666666664
1,Hero Passion Pro,26.041666666666668,26.041666666666668
2,Bajaj Pulsar 150,31.25,31.25
3,Yamaha FZS,31.25,31.25
4,Honda CB Unicorn 150 ABS,31.25,31.25
5,Honda Activa 4G,22.875,22.875
6,Suzuki Access 125,22.875,22.875
7,Honda Activa 3G,22.875,22.875
8,TVS Jupiter,22.875,22.875
9,Royal Enfield Classic 350,62.5,62.5
10,Bajaj Avenger 220 Street,41.666666666666664,41.666666666666664
11,Bajaj Avenger 150 Street,41.666666666666664,41.666666666666664
12,Honda Activa 5G,22.875,22.875
